 Desplazamiento Bala, Velocidad Bala, Estatus, -143 -525 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -125 -525 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -108 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -90 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -73 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -55 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -38 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -20 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -3 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 15 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 32 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -525 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -635 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -620 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -605 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -590 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -575 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -560 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -544 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -529 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -514 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -499 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -484 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -469 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -453 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -438 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -423 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -408 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -393 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -378 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -362 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -347 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -332 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -317 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -302 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -287 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -271 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -256 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -241 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -226 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -211 -455 1,0
